iter	RMSE
0	0.9929332681
1	0.965051327
2	0.9374230667
3	0.9117220915
4	0.8886101941
5	0.8657210544
6	0.8450053653
7	0.825243335
8	0.8066589544
9	0.7884048984
10	0.7708043323
11	0.7558823773
12	0.7414119595
13	0.7275097335
14	0.716185164
15	0.7032987848
16	0.6922717272
17	0.6818676237
18	0.6723647518
19	0.6627277179
20	0.6538422532
21	0.6457545657
22	0.6375941992
23	0.6289583526
24	0.6213692995
25	0.6137869878
26	0.6081791795
27	0.6026700642
28	0.5966584576
29	0.5919924661
30	0.5856171665
31	0.5800758241
32	0.5755433563
33	0.5716251522
34	0.5676773531
35	0.5639786804
36	0.560040027
37	0.5550356136
38	0.5521495392
39	0.5493827552
40	0.5459627559
41	0.5425069912
42	0.5404600131
43	0.5379838664
44	0.5355522529
45	0.53220488
46	0.5296722372
47	0.5276865376
48	0.5252461967
49	0.5232492834
50	0.5211594773
51	0.5187050855
52	0.5171104589
53	0.5152435136
54	0.5130223884
55	0.5111079839
56	0.5099442067
57	0.5077958626
58	0.5060603161
59	0.5041915726
60	0.502057232
61	0.500595527
62	0.4986778893
63	0.497712851
64	0.4959387496
65	0.4943094057
66	0.4932417862
67	0.4909927503
68	0.4894182034
69	0.4879756199
70	0.4866360791
71	0.4864027907
72	0.4845507817
73	0.4836363168
74	0.4824700996
75	0.4806852486
76	0.4793439854
77	0.4782510419
78	0.4763842163
79	0.4747900161
80	0.4737515355
81	0.4726639416
82	0.4715688881
83	0.4698231956
84	0.468342492
85	0.4666825876
86	0.4659847377
87	0.4652058857
88	0.4638214028
89	0.4623768682
90	0.4618094018
91	0.4607468922
92	0.4600278747
93	0.4589966201
94	0.4574557077
95	0.4562885205
96	0.4556161379
97	0.4546695593
98	0.4536213183
99	0.4532033142
100	0.452483737
101	0.4515444815
102	0.450278787
103	0.4491115184
104	0.4485542754
105	0.4473120891
106	0.4467355432
107	0.4459531632
108	0.4447593649
109	0.4441653819
110	0.443626257
111	0.4430706994
112	0.4423010879
113	0.4412764251
114	0.4406662101
115	0.4400619362
116	0.439295157
117	0.4388163214
118	0.4379421747
119	0.4371218209
120	0.4360215575
121	0.4354957047
122	0.4350201075
123	0.4343573518
124	0.433760352
125	0.4333305518
126	0.4326730912
127	0.4313603206
128	0.4306876112
129	0.4300912636
130	0.429110911
131	0.4284017435
