iter	Passed	Remaining
0	4	1778
1	12	2511
2	17	2329
3	21	2139
4	27	2181
5	31	2056
6	34	1963
7	40	1989
8	45	1973
9	49	1920
10	52	1862
11	60	1941
12	66	1970
13	72	2009
14	75	1925
15	80	1923
16	85	1917
17	93	1980
18	98	1983
19	106	2024
20	111	2017
21	116	2003
22	123	2030
23	128	2020
24	133	2005
25	142	2044
26	147	2032
27	153	2043
28	159	2040
29	164	2029
30	173	2062
31	179	2065
32	186	2079
33	192	2067
34	196	2048
35	202	2049
36	207	2039
37	213	2029
38	220	2041
39	225	2032
40	230	2019
41	237	2027
42	241	2007
43	246	1993
44	253	2002
45	259	1993
46	264	1984
47	272	1997
48	277	1991
49	285	1999
50	293	2006
51	301	2018
52	308	2020
53	318	2038
54	324	2034
55	334	2052
56	341	2057
57	373	2203
58	389	2248
59	401	2276
60	414	2302
61	426	2326
62	437	2338
63	452	2374
64	459	2369
65	469	2378
66	475	2364
67	484	2364
68	489	2349
69	498	2348
70	502	2330
71	504	2296
72	511	2291
73	519	2289
74	529	2293
75	537	2290
76	543	2281
77	551	2274
78	557	2264
79	566	2264
80	572	2252
81	579	2248
82	585	2237
83	591	2226
84	598	2218
85	604	2205
86	612	2204
87	618	2192
88	627	2191
89	633	2183
90	641	2176
91	648	2169
92	653	2157
93	661	2153
94	667	2142
95	675	2137
96	681	2127
97	687	2117
98	694	2111
99	700	2101
100	709	2099
101	716	2092
102	724	2090
103	730	2078
104	736	2069
105	743	2061
106	748	2049
107	756	2044
108	764	2039
109	772	2035
110	778	2026
111	783	2014
112	791	2009
113	797	2000
114	805	1996
115	810	1984
116	816	1974
117	827	1976
118	832	1965
119	838	1957
120	844	1946
121	849	1935
122	855	1926
123	860	1915
124	866	1905
125	871	1895
126	876	1883
127	884	1879
128	889	1869
129	894	1858
130	902	1853
131	907	1843
132	914	1836
133	921	1830
134	927	1820
135	936	1817
136	942	1808
137	950	1805
138	956	1795
139	961	1785
140	970	1783
141	975	1772
142	982	1766
143	987	1756
144	993	1746
145	1000	1740
146	1006	1732
147	1015	1729
148	1023	1723
