STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform,Year
1790,"PULICATE LAKE , NELLORE 
DIST.",LAKE,"ANDHRA 
PRADESH",27,28,5.1,6.9,7.1,8.5,3270,156600,1,2.3,0.65,6.9,2,2,800,1600,2017
2353,"KONDACHARLA-AAVA LAKE, 
PARAWADA PHARMA CITY, 
VISHAKHAPATNAM, A.P",LAKE,"ANDHRA 
PRADESH",24,28,5.9,6.8,6.9,8.4,597,1034,1.3,2.3,1.16,3.36,11,29,350,2400,2017
2205,"MER BEEL AT MADHABPUR, 
ASSAM",LAKE,ASSAM,20,27,2.2,7.2,5.7,7,50,128,1,16.2,0.1,1.7,300,2000,360,6400,2017
2206,"DALONI BEEL NEAR 
JOGIGHOPA, ASSAM",LAKE,ASSAM,22,36,5.1,6,6.6,7.8,54,153,0.9,2.8,0.1,1.4,300,1200,300,5300,2017
1263,"ELANGABEEL SYSTEM POND 
(CONNECTED TO R. KOLANG), 
ASSAM",POND,ASSAM,22,34,0.7,4.6,6.8,8.4,263,972,4.5,14.7,0.8,5.7,1100,3500,730,21000,2017
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,20,35,3.5,6.8,6.1,7.3,26,235,2.2,18.1,0.5,1.9,300,2100,360,29000,2017
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,18,31,5,7.3,5.8,7.6,25,38,2,3.2,0.1,2.5,360,1500,300,15000,2017
2209,"GAURISAGAR TANK, 
GAURISAGAR, ASSAM",POND,ASSAM,20,32,5.2,8.1,5.6,7.8,23,38,1.9,4.1,0.1,1.7,360,2800,360,21000,2017
2210,"RAJMAW PUKHURI, JORHAT, 
ASSAM",POND,ASSAM,21,32,5.1,6.5,6.7,7.4,45,81,1.1,4.8,0.1,1.9,300,1500,300,4400,2017
2211,"PADUMPUKHURI, TEZPUR, 
ASSAM",POND,ASSAM,22,30,7.2,8.3,7.1,9.1,195,264,3.8,12.7,0.9,3.4,300,720,300,4400,2017
