Water_Body_Type,State_Name,Year,Temperature,DO,pH,Conductivity,BOD,Nitrate_Nitrite,Fecal_Coliform,Total_Coliform,Conductivity_log,BOD_log,Nitrate_Nitrite_log,Total_Coliform_log,Fecal_Coliform_log,DO_sqrt
LAKE,"ANDHRA 
PRADESH",2017,26.0,6.35,7.65,815.5,1.7999999999999998,2.26,20.0,1375.0,6.70502691241052,1.0296194171811581,1.1817271953786161,7.226936018493289,3.044522437723423,2.5199206336708304
LAKE,ASSAM,2017,23.5,4.7,6.6,89.0,8.6,0.9,1150.0,3380.0,4.499809670330265,2.2617630984737906,0.6418538861723948,8.125926802707886,7.048386408721883,2.16794833886788
LAKE,ASSAM,2017,29.0,5.55,7.199999999999999,103.5,1.8499999999999999,0.75,750.0,2800.0,4.6491870714048655,1.047318994280559,0.5596157879354227,7.937731775260109,6.621405651764134,2.355843797877949
POND,ASSAM,2017,28.0,2.65,7.6,617.5,9.6,3.25,2300.0,10865.0,6.427297191832543,2.3608540011180215,1.4469189829363254,9.293393927111468,7.741099090035366,1.6278820596099706
POND,ASSAM,2017,27.5,5.15,6.699999999999999,130.5,10.15,1.2,1200.0,14680.0,4.879006851617819,2.411439497906128,0.7884573603642702,9.59430941973946,7.0909098220799835,2.2693611435820435
POND,ASSAM,2017,24.5,6.15,6.699999999999999,31.5,2.6,1.3,930.0,7650.0,3.481240089335692,1.2809338454620642,0.832909122935104,8.942591637231851,6.836259277277067,2.479919353527449
POND,ASSAM,2017,26.0,6.65,6.699999999999999,30.5,3.0,0.9,1580.0,10680.0,3.449987545831587,1.3862943611198906,0.6418538861723948,9.276221741089696,7.365812837209472,2.5787593916455256
POND,ASSAM,2017,26.5,5.8,7.050000000000001,63.0,2.95,1.0,900.0,2350.0,4.1588830833596715,1.3737155789130306,0.6931471805599453,7.762596048540069,6.803505257608338,2.4083189157584592
POND,ASSAM,2017,26.0,7.75,8.1,229.5,8.25,2.15,510.0,2350.0,5.440250862436703,2.224623551524334,1.1474024528375417,7.762596048540069,6.236369590203704,2.7838821814150108
POND,ASSAM,2017,25.0,8.3,7.3,78.0,4.5,0.7,1180.0,1980.0,4.3694478524670215,1.7047480922384253,0.5306282510621704,7.591357046698551,7.074116816197362,2.8809720581775866
POND,ASSAM,2017,25.5,7.65,8.0,136.0,11.65,1.4,605.0,930.0,4.919980925828125,2.5376572151735295,0.8754687373538999,6.836259277277067,6.406879986069314,2.7658633371878665
